#{"t_start": 1761919861.099034, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
305.0,3225,858.009756
295.0,2579,859.254886
65.0,1209,859.837681
280.0,2227,860.918089
630.0,3677,862.694313
210.0,1947,863.634883
215.0,3015,865.09653
290.0,2651,866.380951
355.0,2853,867.760702
695.0,4333,869.885702
260.0,2609,871.173272
650.0,5219,877.936799
475.0,3895,879.839519
800.0,5169,882.309674
295.0,3167,883.880755
185.0,2777,885.25736
110.0,1349,885.926697
380.0,3539,887.646383
425.0,3261,889.262977
560.0,3898,891.167226
285.0,3197,892.743259
380.0,3249,894.349487
305.0,2775,895.712394
320.0,3239,897.315885
900.0,6429,900.458365
860.0,5583,903.200928
275.0,3693,905.029643
675.0,4197,907.08588
395.0,2851,908.490865
415.0,3455,910.18777
345.0,3079,911.708464
375.0,2763,913.080911
585.0,3615,914.842435
390.0,2709,916.173363
220.0,2065,917.193673
270.0,2831,918.596125
160.0,1905,919.537413
335.0,3147,921.087362
250.0,2671,922.381854
275.0,2347,923.517526
500.0,3173,925.060487
775.0,4411,927.194238
550.0,3065,933.49843
425.0,3649,935.277898
555.0,4807,937.634325
345.0,2991,939.115981
675.0,3977,941.078478
415.0,3641,942.868194
280.0,3869,944.780104
475.0,3829,946.609355
155.0,2775,947.958788
520.0,5416,950.567529
595.0,3641,952.35711
745.0,3183,953.905608
805.0,4397,956.01441
345.0,3585,957.749303
345.0,2743,959.072587
260.0,2599,960.329272
315.0,3233,961.891559
415.0,3025,963.341167
575.0,4537,965.50562
635.0,3871,967.365987
300.0,2727,968.685424
150.0,1755,969.540101
510.0,3975,971.447992
375.0,3557,973.165836
545.0,5027,975.564409
205.0,2367,976.714357
545.0,3795,978.541783
685.0,5879,985.495047
565.0,3785,987.320986
145.0,1893,988.243335
540.0,3487,989.933125
280.0,2565,991.19542
325.0,3119,992.728613
335.0,3123,994.254525
400.0,3555,995.970733
95.0,2007,996.942722
740.0,4266,998.976309
370.0,3077,1000.463865
275.0,2493,1001.666894
350.0,3551,1003.379486
715.0,3743,1005.17376
240.0,2501,1006.380791
170.0,1741,1007.247048
245.0,2403,1008.435648
320.0,2969,1009.887351
430.0,2959,1011.350738
515.0,3513,1013.055069
345.0,2801,1014.405464
470.0,3803,1016.252424
900.0,3981,1018.156806
80.0,1927,1019.096614
250.0,2501,1020.301488
525.0,3753,1022.099952
420.0,3101,1023.624375
685.0,4001,1025.571864
545.0,4205,1027.585808
510.0,4275,1029.624963
600.0,3185,1031.163056
360.0,2871,1032.552969
575.0,3585,1034.28602
600.0,5143,1040.16735
145.0,2203,1041.263065
460.0,3801,1043.126472
320.0,2692,1044.428153
470.0,3175,1045.961487
265.0,2575,1047.2116
590.0,3601,1048.977887
570.0,4559,1051.210744
320.0,3195,1052.787106
345.0,3401,1054.467736
665.0,3255,1056.05354
665.0,3521,1057.780697
335.0,2974,1059.247558
290.0,2321,1060.379783
205.0,2759,1061.716033
320.0,2412,1062.894429
315.0,3091,1064.412189
645.0,3649,1066.205488
325.0,2433,1067.411309
195.0,3103,1068.950109
750.0,6077,1071.935224
120.0,2593,1073.222966
480.0,3803,1075.083853
440.0,3551,1076.791987
415.0,3233,1078.351238
325.0,2875,1079.747689
315.0,2405,1080.913232
600.0,4355,1082.985933
500.0,4075,1084.934978
775.0,4019,1086.856682
245.0,2511,1092.304174
215.0,2427,1093.505726
255.0,2335,1094.664834
105.0,2379,1095.834141
570.0,4917,1098.231759
180.0,3267,1099.853873
325.0,3651,1101.648254
485.0,3639,1103.426097
425.0,2533,1104.673468
760.0,6741,1107.995445
575.0,4201,1110.061326
265.0,2897,1111.499177
230.0,2251,1112.61106
170.0,2017,1113.605587
670.0,4045,1115.591318
280.0,3351,1117.255972
390.0,2687,1118.574489
240.0,2797,1119.965529
600.0,4191,1122.021098
265.0,2455,1123.216778
175.0,2443,1124.394227
230.0,1843,1125.280888
250.0,2369,1126.429823
430.0,3947,1128.326465
555.0,4587,1130.559937
730.0,3297,1132.179908
275.0,2187,1133.263069
400.0,3155,1134.822129
660.0,3475,1136.522861
800.0,6071,1139.47501
685.0,3775,1145.79867
555.0,3943,1147.690255
880.0,7174,1151.160255
295.0,2525,1152.390464
400.0,2949,1153.812434
605.0,3797,1155.630835
895.0,4691,1157.884792
110.0,1435,1158.58079
370.0,2809,1159.933089
485.0,5053,1162.350507
120.0,1575,1163.108008
355.0,2535,1164.335212
490.0,3917,1166.226434
260.0,1927,1167.161124
365.0,3569,1168.880574
500.0,3141,1170.408636
210.0,2059,1171.400219
520.0,3953,1173.301156
470.0,3893,1175.177236
345.0,2657,1176.457589
755.0,3833,1178.292377
485.0,3697,1180.11018
745.0,4223,1182.16324
240.0,1905,1183.107284
85.0,2171,1184.1789
425.0,2899,1185.593148
350.0,3227,1187.14987
215.0,2329,1188.274979
460.0,3459,1189.953148
730.0,4045,1191.930259
450.0,3631,1193.716698
545.0,4339,1200.881353
440.0,4857,1203.269508
175.0,1587,1204.046166
630.0,3475,1205.752529
770.0,3583,1207.495657
750.0,4695,1209.799283
300.0,2763,1211.150618
460.0,4089,1213.119148
515.0,3110,1214.622893
725.0,3351,1216.227025
395.0,3245,1217.783199
385.0,2835,1219.148803
550.0,4501,1221.30268
540.0,3951,1223.198236
440.0,3107,1224.682525
285.0,2397,1225.834159
575.0,4391,1227.920927
320.0,3287,1229.515888
445.0,3775,1231.319984
485.0,3465,1232.971328
360.0,2595,1234.219227
450.0,3913,1236.103624
335.0,2495,1237.308044
